file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness,Homogenization (Celsius/Minutes),Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Minutes),Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,,,,,,
AA5xxx Card - 011D.docx,AA5xxx,011D,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,106,241,,23,0.8,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
AA5xxx Card - 011E.docx,AA5xxx,011E,1.00E-08,0.06,0.19,1.00E-08,0.31,3.68,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,107,250,,23,0.7,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",23.6,N/A,,,,,,,
AA5xxx Card - 012A.docx,AA5xxx,012A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,94,226,,21,0.9,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 340°C 2 hours",17.5,N/A,,,,,,,
AA5xxx Card - 012B.docx,AA5xxx,012B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,90.2,223,,19.5,0.8,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",18.5,N/A,,,,,,,
AA5xxx Card - 012C.docx,AA5xxx,012C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,92,214,,21.8,0.8,DC,635,540°C > 5 hours,99.6,52,"Batch annealing, 340°C 2 hours",18.7,N/A,,,,,,,
AA5xxx Card - 012D.docx,AA5xxx,012D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,87,218,,21.3,0.7,DC,635,540°C > 5 hours,99.6,54,"Batch annealing, 340°C 2 hours",22,N/A,,,,,,,
AA5xxx Card - 012E.docx,AA5xxx,012E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,80,215,,23,0.4,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",31,N/A,,,,,,,
AA5xxx Card - 012F.docx,AA5xxx,012F,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,75,215,,26,0,DC,635,540°C > 5 hours,99.6,26,"Batch annealing, 340°C 2 hours",37.3,N/A,,,,,,,
AA5xxx Card - 012G.docx,AA5xxx,012G,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,75,214,,25,0,DC,635,540°C > 5 hours,99.6,18,"Batch annealing, 340°C 2 hours",38.5,N/A,,,,,,,
AA5xxx Card - 013A.docx,AA5xxx,013A,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,155.4,300,,23,1.3,DC,635,540°C > 5 hours,99.6,80,"Batch annealing, 340°C 2 hours",9.4,N/A,,,,,,,
AA5xxx Card - 013B.docx,AA5xxx,013B,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,151,297,,22.5,1.2,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",10,N/A,,,,,,,
AA5xxx Card - 013C.docx,AA5xxx,013C,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,150,297,,24,1.2,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",10.5,N/A,,,,,,,
AA5xxx Card - 013D.docx,AA5xxx,013D,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,148,293,,22,,DC,635,540°C > 5 hours,99.6,70,"Batch annealing, 340°C 2 hours",11.2,N/A,,,,,,,
AA5xxx Card - 013E.docx,AA5xxx,013E,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,147.5,295,,23.5,1.5,DC,635,540°C > 5 hours,99.6,72,"Batch annealing, 340°C 2 hours",11.5,N/A,,,,,,,
AA5xxx Card - 013F.docx,AA5xxx,013F,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,146.5,296,,24.3,1.4,DC,635,540°C > 5 hours,99.6,70.5,"Batch annealing, 340°C 2 hours",12,N/A,,,,,,,
AA5xxx Card - 013G.docx,AA5xxx,013G,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,147,294,,22.5,1.5,DC,635,540°C > 5 hours,99.6,68,"Batch annealing, 340°C 2 hours",12.5,N/A,,,,,,,
AA5xxx Card - 013H.docx,AA5xxx,013H,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,136,286,,22.9,0.8,DC,635,540°C > 5 hours,99.6,60,"Batch annealing, 340°C 2 hours",13,N/A,,,,,,,
AA5xxx Card - 013I.docx,AA5xxx,013I,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,145,299,,24.1,1,DC,635,540°C > 5 hours,99.6,65,"Batch annealing, 340°C 2 hours",13.5,N/A,,,,,,,
AA5xxx Card - 013J.docx,AA5xxx,013J,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,134,281,,24.1,0.9,DC,635,540°C > 5 hours,99.6,50,"Batch annealing, 340°C 2 hours",14.4,N/A,,,,,,,
AA5xxx Card - 013K.docx,AA5xxx,013K,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,119.5,269,,24,0.8,DC,635,540°C > 5 hours,99.6,40,"Batch annealing, 340°C 2 hours",17,N/A,,,,,,,
AA5xxx Card - 013L.docx,AA5xxx,013L,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,118.1,273,,24.4,0.7,DC,635,540°C > 5 hours,99.6,35,"Batch annealing, 340°C 2 hours",21.3,N/A,,,,,,,
AA5xxx Card - 013M.docx,AA5xxx,013M,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,117.9,271,,25.2,0.7,DC,635,540°C > 5 hours,99.6,34,"Batch annealing, 340°C 2 hours",21.8,N/A,,,,,,,
AA5xxx Card - 013N.docx,AA5xxx,013N,1.00E-08,0.08,0.22,0.04,0.33,4.55,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,124.8,275,,23.8,,DC,635,540°C > 5 hours,99.6,35,"Batch annealing, 340°C 2 hours",22,N/A,2.8,,,,,,
AA5xxx Card - 014A.docx,AA5xxx,014A,1.00E-08,0.06,0.23,0.06,0.3,4.46,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,110,255,,25,0.5,DC,635,540°C > 5 hours,99.3,17.5,"flash annealing, 400°C 10 minutes",30.5,N/A,3.4,,,,,,
AA5xxx Card - 014B.docx,AA5xxx,014B,1.00E-08,0.06,0.23,0.06,0.3,4.46,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,130,279,,24,0.8,DC,635,540°C > 5 hours,99.3,36.5,"flash annealing, 400°C 10 minutes",17.6,N/A,2.6,,,,,,
AA5xxx Card - 014C.docx,AA5xxx,014C,1.00E-08,0.06,0.23,0.06,0.3,4.46,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,135,282,,24,1,DC,635,540°C > 5 hours,99.3,50,"flash annealing, 400°C 10 minutes",13.8,N/A,2.6,,,,,,
AA5xxx Card - 014D.docx,AA5xxx,014D,1.00E-08,0.06,0.23,0.06,0.3,4.46,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,152,297,,23,1.2,DC,635,540°C > 5 hours,99.3,73,"flash annealing, 400°C 10 minutes",9.6,N/A,2.8,,,,,,
AA5xxx Card - 015A.docx,AA5xxx,015A,1.00E-08,0.1,0.2,1.00E-08,0.6,6,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,217.5,388.8,,24.5,2,DC,406.4,525°C > 5 hours,97.5,90,"flash annealing, 400°C 1 hour",5.6,N/A,,,,,,,
AA5xxx Card - 015B.docx,AA5xxx,015B,1.00E-08,0.1,0.2,1.00E-08,0.6,6,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,189,351,,24.5,2,DC,406.4,525°C > 5 hours,97.5,90,"flash annealing, 450°C 1 hour",6,N/A,,,,,,,
AA5xxx Card - 015C.docx,AA5xxx,015C,1.00E-08,0.1,0.2,1.00E-08,0.6,6,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,164,309,,24,2,DC,406.4,525°C > 5 hours,97.5,90,"flash annealing, 500°C 1 hour",6.9,N/A,,,,,,,
AA5xxx Card - 015D.docx,AA5xxx,015D,1.00E-08,0.1,0.2,1.00E-08,0.6,6,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,142.5,289,,24.4,1,DC,406.4,525°C > 5 hours,97.5,90,"flash annealing, 525°C 1 hour",7.4,N/A,,,,,,,
AA5xxx Card - 016A.docx,AA5xxx,016A,1.00E-08,0.1,0.25,1.00E-08,1.00E-08,2.2,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,90,190,,25,,DC,635,525°C > 5 hours,99,75,"batch annealing, 350°C 2 hours",40,N/A,,,,,,,
AA5xxx Card - 017A.docx,AA5xxx,017A,1.00E-08,0.08,0.2,1.00E-08,0.45,4.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,184,337,,23.7,,book mould,76.2,525°C 8 hours,92,75,"flash annealing, 400°C 1 hour",4.3,N/A,,,,,,,
AA5xxx Card - 017B.docx,AA5xxx,017B,1.00E-08,0.08,0.2,1.00E-08,0.45,4.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,181.3,334.9,,22.5,,book mould,76.2,525°C 8 hours,92,75,"flash annealing, 450°C 1 hour",4.5,N/A,,,,,,,
AA5xxx Card - 017C.docx,AA5xxx,017C,1.00E-08,0.08,0.2,1.00E-08,0.45,4.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,174.5,327.2,,23,,book mould,76.2,525°C 8 hours,92,75,"flash annealing, 500°C 1 hour",4.8,N/A,,,,,,,
AA5xxx Card - 017D.docx,AA5xxx,017D,1.00E-08,0.08,0.2,1.00E-08,0.45,4.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,163.1,316.7,,20.9,,book mould,76.2,525°C 8 hours,92,75,"flash annealing, 550°C 1 hour",6.5,N/A,,,,,,,
AA5xxx Card - 018A.docx,AA5xxx,018A,1.00E-08,0.08,0.15,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,148.8,277,,23.6,,book mould,38,525°C 8 hours,85,50,"flash annealing, 350°C 1 hour",5,N/A,,,,,,,
AA5xxx Card - 018B.docx,AA5xxx,018B,1.00E-08,0.08,0.15,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,141.8,269.7,,23.3,,book mould,38,525°C 8 hours,85,50,"flash annealing, 400°C 1 hour",5.5,N/A,,,,,,,
AA5xxx Card - 018C.docx,AA5xxx,018C,1.00E-08,0.08,0.15,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,130.4,263,,22.6,,book mould,38,525°C 8 hours,85,50,"flash annealing, 450°C 1 hour",6.5,N/A,,,,,,,
AA5xxx Card - 018D.docx,AA5xxx,018D,1.00E-08,0.08,0.15,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,121.1,259.5,,21.3,,book mould,38,525°C 8 hours,85,50,"flash annealing, 500°C 1 hour",7.9,N/A,,,,,,,
AA5xxx Card - 018E.docx,AA5xxx,018E,1.00E-08,0.08,0.15,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,109.1,246,,22.3,,book mould,38,525°C 8 hours,85,50,"flash annealing, 550°C 1 hour",11.1,N/A,,,,,,,
AA5xxx Card - 019A.docx,AA5xxx,019A,1.00E-08,0.08,0.25,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,143.8,271.8,,21.8,,book mould,38,525°C 8 hours,85,50,"flash annealing, 350°C 1 hour",5,N/A,,,,,,,
AA5xxx Card - 019B.docx,AA5xxx,019B,1.00E-08,0.08,0.25,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,137.9,265.5,,25.5,,book mould,38,525°C 8 hours,85,50,"flash annealing, 400°C 1 hour",5.4,N/A,,,,,,,
AA5xxx Card - 019C.docx,AA5xxx,019C,1.00E-08,0.08,0.25,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,130.7,260.1,,22.5,,book mould,38,525°C 8 hours,85,50,"flash annealing, 450°C 1 hour",6.6,N/A,,,,,,,
AA5xxx Card - 019D.docx,AA5xxx,019D,1.00E-08,0.08,0.25,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,120,255.3,,23.8,,book mould,38,525°C 8 hours,85,50,"flash annealing, 500°C 1 hour",7.9,N/A,,,,,,,
AA5xxx Card - 019E.docx,AA5xxx,019E,1.00E-08,0.08,0.25,1.00E-08,0.8,3.5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,111,251.3,,22.1,,book mould,38,525°C 8 hours,85,50,"flash annealing, 550°C 1 hour",10.9,N/A,,,,,,,
AA5xxx Card - 020A.docx,AA5xxx,020A,1.00E-08,0.03,0.04,1.00E-08,0.52,4.53,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,156.7,311.3,21,31.7,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",13.6,N/A,,,,,,,
AA5xxx Card - 020B.docx,AA5xxx,020B,1.00E-08,0.03,0.05,1.00E-08,0.99,4.62,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,173,344.5,21.5,24,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",10.8,Yes,,,,,,,
AA5xxx Card - 020C.docx,AA5xxx,020C,1.00E-08,0.04,0.05,1.00E-08,1.44,4.61,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,193,365,19.5,22,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",10,Yes,,,,,,,
AA5xxx Card - 020D.docx,AA5xxx,020D,1.00E-08,0.06,0.14,1.00E-08,0.51,4.52,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,162,313.4,20,26,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",11.4,Yes,,,,,,,
AA5xxx Card - 020E.docx,AA5xxx,020E,1.00E-08,0.06,0.16,1.00E-08,0.99,4.62,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,176,347,20.3,25,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",10.7,Yes,,,,,,,
AA5xxx Card - 020F.docx,AA5xxx,020F,1.00E-08,0.07,0.18,1.00E-08,1.48,4.67,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,186.7,362,18,20,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",9.9,Yes,,,,,,,
AA5xxx Card - 020G.docx,AA5xxx,020G,1.00E-08,0.06,0.26,1.00E-08,0.51,4.51,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,164.7,316,21.3,27.3,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",10.5,Yes,,,,,,,
AA5xxx Card - 020H.docx,AA5xxx,020H,1.00E-08,0.06,0.27,1.00E-08,0.95,4.61,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,176,341.3,21.3,25.3,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",10.2,Yes,,,,,,,
AA5xxx Card - 020I.docx,AA5xxx,020I,1.00E-08,0.06,0.28,1.00E-08,1.45,4.67,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,187.7,357,18.3,21,,DC,95.25,"540°C, 5 - 6 hours",89,81,"batch annealing, 350°C 2 hours",9.3,Yes,,,,,,,
AA5xxx Card - 021A.docx,AA5xxx,021A,1.00E-08,0.08,0.45,1.00E-08,0.05,0.8,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,54.2,129.9,24.9,25.1,,DC,635,540°C > 5 hours,99,75,"batch annealing, 300°C 2 hours",20.7,N/A,,,,,,,
AA5xxx Card - 021B.docx,AA5xxx,021B,1.00E-08,0.08,0.45,1.00E-08,0.05,0.8,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,40.3,121.8,27.1,27.2,,DC,635,540°C > 5 hours,99,75,"batch annealing, 320°C 2 hours",30,N/A,,,,,,,
AA5xxx Card - 021C.docx,AA5xxx,021C,1.00E-08,0.08,0.45,1.00E-08,0.05,0.8,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,40.2,121.2,28.4,28.5,,DC,635,540°C > 5 hours,99,75,"batch annealing, 340°C 2 hours",30.5,N/A,,,,,,,
AA5xxx Card - 021D.docx,AA5xxx,021D,1.00E-08,0.08,0.45,1.00E-08,0.05,0.8,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,37.2,110.6,37.9,38,,DC,635,540°C > 5 hours,99,63,"batch annealing, 300°C 2 hours",36.1,N/A,,,,,,,
AA5xxx Card - 022A.docx,AA5xxx,022A,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,43.4,112.5,17.4,17.5,0,DC,635,540°C > 5 hours,99.6,50,"batch annealing, 325°C 2 hours",60,N/A,,,,,,,
AA5xxx Card - 022B.docx,AA5xxx,022B,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,35.1,107.3,19.7,19.7,0,DC,635,540°C > 5 hours,99.6,50,"batch annealing, 350°C 2 hours",75,N/A,,,,,,,
AA5xxx Card - 022C.docx,AA5xxx,022C,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,33.9,106.2,19.3,19.3,0,DC,635,540°C > 5 hours,99.6,50,"batch annealing, 375°C 2 hours",80,N/A,,,,,,,
AA5xxx Card - 022D.docx,AA5xxx,022D,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,41.1,112.7,16.6,16.7,0,DC,635,540°C > 5 hours,99.6,60,"batch annealing, 325°C 2 hours",62,N/A,,,,,,,
AA5xxx Card - 022E.docx,AA5xxx,022E,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,35.1,108.1,20,20.1,0,DC,635,540°C > 5 hours,99.6,60,"batch annealing, 350°C 2 hours",65,N/A,,,,,,,
AA5xxx Card - 022F.docx,AA5xxx,022F,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,33.9,107.4,20,20.2,0,DC,635,540°C > 5 hours,99.6,60,"batch annealing, 375°C 2 hours",75,N/A,,,,,,,
AA5xxx Card - 022G.docx,AA5xxx,022G,1.00E-08,0.08,0.1,1.00E-08,0.1,1,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,42.2,115.8,19.5,19.5,0,DC,635,540°C > 5 hours,99.6,70,"batch annealing, 325°C 2 hours",60,N/A,,,,,,,
